Date,Shortcode,URL,Title,Summary,Likes,ballistic_detected,ballistic_intercepted,UAV_detected,UAV_intercepted,ballistic_sea,ballistic_land,UAV_sea,UAV_land
2026-02-28,DVUX_J9GjOR,https://www.instagram.com/p/DVUX_J9GjOR/,UAE air defences intercept 132 of 137 missiles and 195 of 209 drones (Day 1),"On February 28, the UAE Ministry of Defence announced that air defence forces intercepted 137 ballistic missiles and 209 drones
launched toward the UAE during a large-scale Iranian attack. Of the 137 missiles detected, 132 were destroyed while five fell into the sea.
Among the 209 drones, 195 were intercepted and 14 landed within the country’s territory or waters, causing minor damage.
The ministry condemned the attack, emphasised the threat to civilian safety and national stability, and pledged readiness to respond to further threats.",48000,137,132,209,195,5,0,0,14
2026-03-01,DVV_YMyEr6G,https://www.instagram.com/p/DVV_YMyEr6G/,"UAE deals with 20 ballistic missiles, 2 cruise missiles and 311 drones (Day 2)","On March 1, the UAE Ministry of Defence reported that on the second day of the Iranian attack,
UAE air force and air defence forces destroyed 20 ballistic missiles, while eight missiles fell into the sea.
They also destroyed two cruise missiles and 311 drones. However, 21 drones struck civilian targets.
Since the beginning of the attack on 28 February, 165 ballistic missiles have been detected (152 destroyed, 13 fell into sea waters),
two cruise missiles were detected and destroyed, and 541 drones were detected (506 intercepted, 35 fell within the country).
These incidents resulted in three fatalities and 58 minor injuries. The Ministry affirmed readiness to address threats and emphasised
the safety of citizens, residents and visitors.",9400,28,20,332,311,8,0,0,21
2026-03-02,DVY156lEqso,https://www.instagram.com/p/DVY156lEqso/,"UAE air defences intercept 9 ballistic missiles, 6 cruise missiles, 148 drones","On March 2, the UAE Ministry of Defence reported that air defence systems intercepted nine ballistic missiles,
six cruise missiles and 148 drones.
Since the start of the Iranian attacks, 174 ballistic missiles were detected (161 destroyed, 13 fell into the sea),
689 drones were detected (645 intercepted, 44 fell within the country) and eight cruise missiles were destroyed.
The attacks caused three fatalities and 68 minor injuries among nationals from several countries.
The Ministry stated that the sounds heard were the result of air defence systems and fighter jets intercepting missiles and drones,
leading to minor to moderate material damage to civilian properties.",4700,9,9,148,148,0,0,0,0
2026-03-03,DVbYzlfj1J8,https://www.instagram.com/p/DVbYzlfj1J8/,"UAE air defences intercept 11 ballistic missiles, 123 drones","On March 3, UAE air defence systems intercepted 11 ballistic missiles and 123 drones.
One ballistic missile landed within the country without causing casualties.
Cumulative statistics since the start of the Iranian attacks show that 186 ballistic missiles were detected (172 destroyed, 13 fell into the sea, one landed)
and 812 drones were detected (755 intercepted, 57 fell within the country).
Eight cruise missiles were detected and destroyed. The Ministry confirmed that sounds heard were the result of interceptions and emphasised preparedness.",1900,12,11,123,123,0,1,0,0
2026-03-04,DVeDJ2oCQpI,https://www.instagram.com/p/DVeDJ2oCQpI/,"UAE air defences intercept 3 ballistic missiles, 121 of 129 drones","The Ministry of Defence announced that on March 4, UAE air defence systems intercepted three ballistic missiles.
They detected 129 drones (UAVs) and successfully intercepted 121, while eight drones fell within the UAE.
Since the beginning of the Iranian attacks, a total of 189 ballistic missiles were detected (175 destroyed, 13 fell into the sea, one landed)
and 941 drones were detected (876 intercepted, 65 fell within the country).
Eight cruise missiles were destroyed. The Ministry reiterated readiness to respond to threats and protect national security.",11,3,3,129,121,0,0,0,8
2026-03-05,DVgN_exkpZA,https://www.instagram.com/p/DVgN_exkpZA/,"UAE air defences intercept 6 ballistic missiles, 125 drones","On March 5, the Ministry of Defence reported that UAE air defence systems detected seven ballistic missiles and destroyed six of them, with one missile falling inside the country. They also detected 131 drones, intercepting 125 while six drones fell within the UAE. Since the start of the Iranian attacks, 196 ballistic missiles have been launched toward the UAE (181 destroyed, 13 fell into the sea, 2 landed within the country) and 1,072 drones detected (1,001 intercepted, 71 fell within the country). Eight cruise missiles were destroyed. The attacks caused three fatalities and 94 minor injuries among nationals from a range of countries. The ministry reiterated that it remains fully prepared to protect national security and sovereignty.",2900,7,6,131,125,0,1,0,6
2026-03-06,DVi3ei0kkVL,https://www.instagram.com/p/DVi3ei0kkVL/,"UAE air defences intercept 9 ballistic missiles, 109 drones","On March 6, UAE air defence systems detected nine ballistic missiles and intercepted all of them. They also detected 112 drones, destroying 109 while three drones fell within the UAE. Since the start of the attacks, 205 ballistic missiles have been detected (190 destroyed, 13 fell into the sea, 2 landed within the country) and 1,184 drones detected (1,110 intercepted, 74 fell within the country). Eight cruise missiles were destroyed. The attacks resulted in three deaths and 112 minor injuries among nationals of various countries. The ministry emphasized high alert and readiness to counter threats.",2900,9,9,112,109,0,0,0,3
2026-03-07,DVlWfcZj4ap,https://www.instagram.com/reel/DVlWfcZj4ap/,"UAE air defences detect 16 ballistic missiles, 121 UAVs (March 7 update)","On March 7, UAE air defence systems detected 16 ballistic missiles.
Of these, 15 missiles were intercepted and destroyed while one fell into the sea.
They also detected 121 UAVs (drones), intercepting 119 while two fell within the country’s territory.
The Ministry emphasised ongoing readiness and underscored its commitment to protecting citizens, residents and visitors.",2800,16,15,121,119,1,0,0,2
2026-03-08,DVnua83kiOl,https://www.instagram.com/p/DVnua83kiOl/,"UAE air defences intercept 16 ballistic missiles, 113 UAVs","On March 8, UAE air defences detected 17 ballistic missiles and destroyed 16, with one falling into the sea. They also detected 117 UAVs, intercepting 113 while four fell within the country. Cumulative figures indicate 238 ballistic missiles detected (221 destroyed, 15 fell into the sea, 2 landed within the country) and 1,422 UAVs detected (1,342 intercepted, 80 fell within the country). Eight cruise missiles were destroyed. The attacks caused four deaths and 112 injuries, and the Ministry reaffirmed readiness to confront threats and safeguard national interests.",2200,17,16,117,113,1,0,0,4
2026-03-09,DVqaUSRiAOt,https://www.instagram.com/p/DVqaUSRiAOt/,"UAE air defences intercept 12 ballistic missiles, 17 UAVs","On March 9, UAE air defences detected 15 ballistic missiles and destroyed 12, with three falling into the sea. They detected 18 UAVs, intercepting 17 and allowing one to fall within the country. Cumulative figures since the start of the attacks show 253 ballistic missiles detected (233 destroyed, 18 fell into the sea, 2 landed within the country) and 1,440 UAVs detected (1,359 intercepted, 81 fell within the country). Eight cruise missiles were destroyed. Four deaths and 117 injuries were reported among nationals from various countries. The Ministry reiterated its readiness to address threats and protect national security.",2200,15,12,18,17,3,0,0,1
2026-03-09,DVqonH8iEuY,https://www.instagram.com/p/DVqonH8iEuY/,MoD announces martyrdom of two UAE Armed Forces members,"The Ministry of Defence announced on March 9 that two members of the UAE Armed Forces were martyred following a helicopter crash due to a technical malfunction while performing their national duty. The ministry expressed condolences to the families of the martyrs, praying for mercy and patience for the grieving families.",5200,15,12,18,17,3,0,0,1
2026-03-10,DVtISYRCBZI,https://www.instagram.com/p/DVtISYRCBZI/,"UAE air defences intercept 8 ballistic missiles, 26 UAVs","On March 10, UAE air defence systems detected 9 ballistic missiles and intercepted 8, with one falling into the sea. They also detected 35 UAVs and intercepted 26, while 9 fell within the country. Since the start of the Iranian attacks, the defence systems have detected 262 ballistic missiles (241 destroyed, 19 fell into the sea, 2 struck within the state) and 1,475 UAVs (1,385 intercepted, 90 fell within the country). Eight cruise missiles have also been destroyed. The attacks led to six deaths and 122 moderate to minor injuries among nationals from multiple countries. The Ministry affirmed ongoing readiness to confront threats and protect UAE sovereignty.",2900,9,8,35,26,1,0,0,9
